TimestampMarket,Symbol,Action,Detail,TieKey
2024-03-18T15:00:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,f9828573bb8ce3573a165206cce999122f91d7c8d65fc62234941d5c644b02d6
2024-03-18T15:15:00-04:00,BTE,FILLED,337 shares at 3.36752375,f9828573bb8ce3573a165206cce999122f91d7c8d65fc62234941d5c644b02d6
2024-03-19T09:30:00-04:00,BEKE,STAGED,Next legitimate symbol 15-minute open.,fcf8b0dc81b995cbb3d8c61d1f593e48320ba8e0e96d5a57c3682f1a20f54b0f
2024-03-19T09:45:00-04:00,BEKE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,fcf8b0dc81b995cbb3d8c61d1f593e48320ba8e0e96d5a57c3682f1a20f54b0f
2024-03-20T10:15:00-04:00,CLOV,STAGED,Next legitimate symbol 15-minute open.,75b4402c9ef7098411aab4774c7439d35d4e5244c70158d71f9e3ceb722020ca
2024-03-20T10:30:00-04:00,CLOV,FILLED,1364 shares at 0.84573382,75b4402c9ef7098411aab4774c7439d35d4e5244c70158d71f9e3ceb722020ca
2024-03-20T13:00:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,81d3efb3a24c165fc1cdf00cc9ede686fe728ff470153e32a16bb580723c13c0
2024-03-20T13:15:00-04:00,BTE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,81d3efb3a24c165fc1cdf00cc9ede686fe728ff470153e32a16bb580723c13c0
2024-03-20T13:15:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,15b8fa28a9d96bb0abb3b2b64a0b74ccc2f378032eb58c136e94fb73bc3d3549
2024-03-20T13:30:00-04:00,BTE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,15b8fa28a9d96bb0abb3b2b64a0b74ccc2f378032eb58c136e94fb73bc3d3549
2024-03-20T14:00:00-04:00,NXE,STAGED,Next legitimate symbol 15-minute open.,1e51252aad9b0f72319bbab5eb7785227dfd6da64e672bb1e76e71286d55de0d
2024-03-20T14:00:00-04:00,APP,STAGED,Next legitimate symbol 15-minute open.,3b4a07758bb2dd3d90941c12f0ca4e69c521b14c4a56aa5a37085fe43fea59e8
2024-03-20T14:00:00-04:00,ACHR,STAGED,Next legitimate symbol 15-minute open.,ddbdeda18c1898d7324add38aff6804b6433a2332e220a7e43c2c8c63d1b2c2f
2024-03-20T14:15:00-04:00,NXE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,1e51252aad9b0f72319bbab5eb7785227dfd6da64e672bb1e76e71286d55de0d
2024-03-20T14:15:00-04:00,APP,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,3b4a07758bb2dd3d90941c12f0ca4e69c521b14c4a56aa5a37085fe43fea59e8
2024-03-20T14:15:00-04:00,ACHR,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,ddbdeda18c1898d7324add38aff6804b6433a2332e220a7e43c2c8c63d1b2c2f
2024-03-20T14:30:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,ad7183872aebc2b2f6cd78e57655c8abc4e43862b15f4f6005728bdbb029df98
2024-03-20T14:45:00-04:00,BTE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,ad7183872aebc2b2f6cd78e57655c8abc4e43862b15f4f6005728bdbb029df98
2024-03-20T14:45:00-04:00,NXE,STAGED,Next legitimate symbol 15-minute open.,0a239577eefdbb7048b16d027b9456f14144e28b080b4b03cabccbe529b5ec58
2024-03-20T15:00:00-04:00,NXE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,0a239577eefdbb7048b16d027b9456f14144e28b080b4b03cabccbe529b5ec58
2024-03-20T15:00:00-04:00,MU,STAGED,Next legitimate symbol 15-minute open.,928834a2c3f54add47096bbb43fd66edae78353be8a32149c33a780c6b32a28c
2024-03-20T15:00:00-04:00,BEKE,STAGED,Next legitimate symbol 15-minute open.,d0cdb57177698692a2fe61277b58df3e37ac5cea4e626fa2c3ab93959a28c69d
2024-03-20T15:15:00-04:00,MU,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,928834a2c3f54add47096bbb43fd66edae78353be8a32149c33a780c6b32a28c
